DBN,DISTRICT,SCHOOL,PRINCIPAL,2008-09 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2007-08 PROGRESS REPORT GRADE,MOST RECENT QUALITY REVIEW SCORE,2008-09 STATE ACCOUNTABILITY STATUS
02M529,2,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Edward DeMeo,CLSO,HS,High School,2.42,C,48.4,6.3,D,11.6,C,29.5,C,1,B,Proficient (2007-08),In Good Standing
02M531,2,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,Michael Mehmet Jr.,ESO,HS,High School,2.55,A,73.4,10.4,B,19.4,A,37.6,B,6,A,Well Developed (2007-08),In Good Standing
02M542,2,MANHATTAN BRIDGES HIGH SCHOOL,Mirza Sanchez Medina,New Visions,HS,High School,2.06,A,76.3,12.4,A,16.8,B,42.1,A,5,A,Well Developed (2007-08),In Good Standing
02M543,2,NEW DESIGN HIGH SCHOOL,Scott Conti,ESO,HS,High School,2.22,A,70.9,9.7,B,18.6,A,35.6,B,7,A,Proficient (2007-08),In Good Standing
02M544,2,INDEPENDENCE HIGH SCHOOL,Ron Smolkin,ESO,HS,Transfer School,2.34,C,52.1,13.1,A,10.4,D,23.6,D,5,A,Proficient (2007-08),In Good Standing
02M545,2,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,Li Yan,ESO,HS,High School,3.12,A,75.7,9.7,B,23.7,A,40.3,B,2,A,Well Developed (2007-08),In Good Standing
02M550,2,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Melodee Khristan,ESO,HS,Transfer School,2.08,A,82.5,5.6,F,19,A,52.9,A,5,A,Proficient (2007-08),Improvement (year 2) -  Comprehensive
02M560,2,HIGH SCHOOL M560 - CITY AS SCHOOL,Antoniette Scarpinato,ESO,HS,Transfer School,2.57,B,66.5,7.2,C,19.7,A,30.8,C,8.8,B,Well Developed (2007-08),In Good Standing
02M565,2,URBAN ACADEMY LABORATORY HIGH SCHOOL,Herb Mack,ESO,HS,Transfer School,2.88,A,80.8,14,A,23.7,A,41.8,A,1.3,A,Outstanding (2007-08),In Good Standing
02M570,2,SATELLITE ACADEMY HIGH SCHOOL,STEVEN ZBAIDA,ESO,HS,Transfer School,2.31,C,49.4,8.2,B,12.9,C,27,C,1.3,B,Well Developed (2007-08),In Good Standing
