DBN,DISTRICT,SCHOOL,SCHOOL SUPPORT ORGANIZATION/NETWORK,PROGRESS REPORT TYPE,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE
28Q072,28,JHS 072 CATH. & COUNT BASIE,CEIPEA1,ESMS,Middle School, 3.20 ,B,55.26,0.19,0.508,0.608,3.75,Proficient
28Q080,28,PS 080 THURGOOD MARSHALL MAGNET,ICI11,ESMS,Elementary School, 64.19 ,B,51.16,0.521,0.44,0.534,0.75,Well-Developed
28Q082,28,PS 082 HAMMOND,ICI19,ESMS,Elementary School, 64.86 ,B,54.36,0.658,0.815,0.364,0,Well-Developed
28Q086,28,PS 086 QUEENS,ICI6,ESMS,Elementary School, 58.21 ,A,68.9,0.366,0.52,0.678,10.5,Proficient
28Q099,28,PS 099 KEW GARDENS,ICI19,ESMS,Elementary School, 45.79 ,B,53.72,0.487,0.596,0.492,1.5,Well-Developed
28Q101,28,PS 101 SCHOOL IN THE GARDENS,ICI11,ESMS,Elementary School, 17.46 ,A,76.91,0.442,0.766,0.819,2.25,Proficient
28Q117,28,PS 117 J.KELD/BRIARWOOD SCH,ESO18,ESMS,Elementary School, 48.84 ,A,75.36,0.486,0.734,0.66,9.75,Well-Developed
28Q121,28,PS 121 QUEENS,ICI19,ESMS,Elementary School, 49.23 ,A,73.16,0.505,0.61,0.764,5.25,Well-Developed
28Q139,28,PS 139 REGO PARK,ICI11,ESMS,Elementary School, 33.93 ,A,64.59,0.561,0.646,0.587,4.5,Well-Developed
28Q140,28,PS 140 EDWARD K ELLINGTON,ICI18,ESMS,Elementary School, 66.78 ,B,62.43,0.423,0.423,0.748,2.25,Proficient
28Q144,28,PS 144 COL JEROMUS REMSEN,ICI18,ESMS,Elementary School, 21.76 ,C,39.1,0.434,0.524,0.307,0,Proficient
28Q157,28,JHS 157 STEPHEN A HALSEY,ICI13,ESMS,Middle School, 3.44 ,B,54.89,0.387,0.655,0.481,3,Well-Developed
28Q160,28,PS 160 WALTER FRANCIS BISHOP,ICI18,ESMS,Elementary School, 72.33 ,A,64.86,0.399,0.604,0.646,5.25,Proficient
28Q161,28,PS 161 ARTHUR ASHE SCHOOL,ICI11,ESMS,Elementary School, 48.18 ,A,74.89,0.635,0.62,0.755,5.25,Well-Developed
28Q174,28,PS 174 WILLIAM SIDNEY MOUNT,ICI11,ESMS,Elementary School, 28.57 ,C,41.88,0.371,0.417,0.433,0,Well-Developed
28Q175,28,PS 175 THE LYNN GROSS DISCOVERY SCHOOL,ICI18,ESMS,Elementary School, 35.01 ,A,80.39,0.66,0.68,0.802,6,Well-Developed
28Q190,28,JHS 190 RUSSELL SAGE,ICI13,ESMS,Middle School, 3.51 ,C,49.51,0.386,0.635,0.408,2.25,Proficient
28Q196,28,PS 196 GRAND CENTRAL PKWY,ICI11,ESMS,Elementary School, 13.58 ,A,78.88,0.502,0.862,0.827,0,Well-Developed
28Q206,28,PS 206 HORACE HARDING,ICI19,ESMS,Elementary School, 47.36 ,C,49.19,0.48,0.537,0.402,3.75,Well-Developed
28Q217,28,JHS 217 ROBERT A VAN WYCK,ICI13,ESMS,Middle School, 3.28 ,B,58.45,0.449,0.619,0.467,7.5,Well-Developed
28Q220,28,PS 220 EDWARD MANDEL,ICI19,ESMS,Elementary School, 41.70 ,C,44.81,0.346,0.479,0.459,0,Well-Developed
28Q440,28,FOREST HILLS HIGH SCHOOL,ICI2,HS,High School, 2.95 ,B,58.3,0.27,0.582,0.587,4.5,Proficient
28Q470,28,JAMAICA HIGH SCHOOL,ICI2,HS,High School, 2.52 ,C,43.95,0.29,0.4,0.501,0,Proficient
28Q505,28,HILLCREST HIGH SCHOOL,New Visions1,HS,High School, 2.62 ,C,40.0,0.31,0.461,0.336,3,Proficient
28Q620,28,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HI,ICI2,HS,High School, 3.15 ,B,56.52,0.315,0.606,0.529,4.5,Proficient
28Q680,28,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,ICI2,ESMS,Middle School, 3.87 ,B,65.21,0.505,0.846,0.586,0,Proficient
28Q680,28,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,ICI2,HS,High School, 3.48 ,B,66,0.492,0.807,0.626,0,Proficient
28Q687,28,QUEENS HIGH SCHOOL FOR SCIENCES AT YORK COLLEGE,ICI2,HS,High School, 3.89 ,A,68.9,0.693,0.753,0.616,2,Proficient
28Q690,28,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,ICI14,HS,High School, 2.80 ,C,37.06,0.508,0.409,0.312,0,Well-Developed
28Q896,28,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,New Visions1,ESMS,Middle School, 3.36 ,A,68.01,0.822,0.713,0.582,2.25,Proficient
29Q015,29,PS 015 JACKIE ROBINSON,Replications1,ESMS,Elementary School, 65.16 ,A,68.42,0.335,0.662,0.764,1.5,Proficient
29Q033,29,PS 033 EDWARD M. FUNK,ESO21,ESMS,Elementary School, 47.80 ,B,57.68,0.672,0.503,0.55,2.25,Proficient
29Q034,29,PS 034 JOHN HARVARD,ESO8,ESMS,Elementary School, 75.42 ,B,52.17,0.482,0.735,0.375,2.25,Well-Developed
29Q035,29,PS 035 NATHANIEL WOODHULL,ICI19,ESMS,Elementary School, 55.71 ,C,40.09,0.309,0.381,0.396,2.25,Proficient
29Q036,29,PS 036 ST ALBANS SCHOOL,ICI8,ESMS,Elementary School, 65.56 ,C,40.67,0.53,0.49,0.314,0.75,Proficient
29Q037,29,CYNTHIA JENKINS SCHOOL,ESO21,ESMS,Elementary School, 66.76 ,B,60.57,0.309,0.308,0.767,4.5,Proficient
29Q038,29,PS 038 ROSEDALE,ESO21,ESMS,Elementary School, 68.25 ,B,61.72,0.531,0.593,0.599,3,Proficient
29Q052,29,PS 052 QUEENS,ESO21,ESMS,Elementary School, 68.79 ,B,54.04,0.508,0.35,0.612,2.25,Proficient
29Q059,29,I S 059 SPRINGFIELD GARDENS,ICI18,ESMS,Middle School, 3.12 ,B,62.65,0.267,0.625,0.657,3.75,Proficient
29Q095,29,PS 095 EASTWOOD,ICI18,ESMS,Elementary School, 57.72 ,B,60.15,0.454,0.57,0.55,6,Well-Developed
29Q109,29,JEAN NUZZI INTERMEDIATE SCHOOL,ESO16,ESMS,Middle School, 3.21 ,B,60.07,0.27,0.645,0.585,4.5,Proficient
29Q116,29,PS 116 WILLIAM C. HUGHLEY,ICI8,ESMS,K-8 School, 68.30 ,B,58.75,0.358,0.442,0.689,2.25,Proficient
29Q118,29,PS 118 LORRAINE HANSBERRY,ICI18,ESMS,Elementary School, 74.09 ,B,61.76,0.506,0.786,0.501,3,Well-Developed
29Q131,29,PS 131 ABIGAIL ADAMS,ESO8,ESMS,Elementary School, 46.28 ,A,68.03,0.592,0.858,0.594,0.75,Well-Developed
29Q132,29,PS 132 RALPH BUNCHE,ESO21,ESMS,Elementary School, 63.39 ,A,66.39,0.767,0.651,0.588,3,Well-Developed
29Q134,29,PS 134 HOLLIS,ICI8,ESMS,Elementary School, 66.03 ,A,71.26,0.395,0.572,0.821,3,Proficient
29Q135,29,THE BELLAIRE SCHOOL,ESO21,ESMS,Elementary School, 57.44 ,B,57.68,0.54,0.648,0.466,4.5,Proficient
29Q136,29,PS 136 ROY WILKINS,ICI8,ESMS,Elementary School, 65.98 ,D,32.41,0.152,0.152,0.437,1.5,Undeveloped
29Q138,29,PS 138 SUNRISE,ESO8,ESMS,K-8 School, 66.93 ,B,51.02,0.267,0.474,0.555,2.25,Proficient
29Q147,29,PS 147 RONALD MCNAIR,ICI8,ESMS,K-8 School, 63.07 ,A,65.55,0.434,0.471,0.748,3.75,Proficient
29Q156,29,PS 156 LAURELTON,ICI18,ESMS,K-8 School, 61.71 ,B,50.98,0.407,0.487,0.496,3,Undeveloped
29Q176,29,PS 176 CAMBRIA HEIGHTS,ICI18,ESMS,Elementary School, 70.01 ,A,73.59,0.835,0.761,0.655,2.25,Well-Developed
29Q181,29,PS 181 BROOKFIELD,ICI18,ESMS,Elementary School, 69.59 ,B,54.67,0.436,0.429,0.6,2.25,Proficient
