Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
Brooklyn,317,3117318,134         ,ERASMUS STREET                  ,3311878,2009-07-14 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3852977,7           ,SOUTH    9 STREET               ,3313391,2009-07-27 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3067333,282         ,NASSAU AVENUE                   ,3313379,2009-07-27 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3068099,444         ,GRAHAM AVENUE                   ,3314231,2009-08-03 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3397894,78          ,MIDDLETON STREET                ,3410419,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,309,3034133,295         ,MONTGOMERY STREET               ,3410408,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3856177,104         ,MANHATTAN AVENUE                ,3410427,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3852976,15          ,SOUTH    9 STREET               ,3308562,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3394531,418         ,LORIMER STREET                  ,3410429,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3839349,174         ,FRANKLIN AVENUE                 ,3308621,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,306,3848157,225         ,4 AVENUE                        ,3410430,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,304,3073482,1209        ,DEKALB AVENUE                   ,3318675,2009-09-16 00:00:00,2013-02-27 00:00:00
Brooklyn,312,3124422,824         ,FRIEL PLACE                     ,3333044,2010-02-16 00:00:00,2013-02-27 00:00:00
Brooklyn,307,3124035,22          ,CATON PLACE                     ,3332207,2010-02-08 00:00:00,2013-02-27 00:00:00
Brooklyn,314,3253727,1623        ,AVENUE P                        ,3316904,2009-08-28 00:00:00,2013-02-27 00:00:00
Brooklyn,306,3397473,376         ,BALTIC STREET                   ,3349479,2010-07-27 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3044083,896         ,GREENE AVENUE                   ,3318673,2009-09-16 00:00:00,2013-02-27 00:00:00
Brooklyn,314,3208622,2901        ,AVENUE L                        ,3340813,2010-05-03 00:00:00,2013-02-27 00:00:00
Brooklyn,315,3184378,1834        ,EAST   26 STREET                ,3350270,2010-08-03 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3853191,865         ,PARK AVENUE                     ,3410405,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3256315,87          ,NORTH    4 STREET               ,3308589,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3069236,129         ,POWERS STREET                   ,3308602,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,308,3029438,500         ,STERLING PLACE                  ,3300183,2009-04-02 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3856539,182A        ,FRANKLIN AVENUE                 ,3410439,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,308,3842802,949         ,PACIFIC STREET                  ,3308707,2009-06-17 00:00:00,2013-02-27 00:00:00
Brooklyn,312,3124556,324         ,EAST    3 STREET                ,3333036,2010-02-16 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3820206,213         ,KINGSLAND AVENUE                ,3308636,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3396827,172         ,FRANKLIN AVENUE                 ,3308619,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3063503,372         ,SOUTH    4 STREET               ,3313389,2009-07-27 00:00:00,2013-02-27 00:00:00
Manhattan,106,1802303,425         ,EAST 38 STREET                  ,1255722,2009-05-07 00:00:00,2013-02-27 00:00:00
Manhattan,111,1803052,411         ,EAST 115 STREET                 ,1321135,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,111,1813348,410         ,EAST 115 STREET                 ,1319249,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,112,1813161,444         ,WEST 163 STREET                 ,1321141,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,111,1803069,408         ,EAST 116 STREET                 ,1319252,2012-02-27 00:00:00,2013-02-27 00:00:00
