Neighborhood,Total Sq Ft,Address 1,Address 2,Zip,Location
Arverne,6000,312 Beach 54th Street,Arverne Library,11692,"312 Beach 54th Street
NY 11692
(40.59283303014811, -73.78425465477204)"
Oakland Gardens,5000,79-50 Bell Blvd,Windsor Park Library,11634,"79-50 Bell Blvd
NY 11634
"
Fresh Meadows,9500,193-20 Horace Harding Expressway,Fresh Meadows Library,11365,"193-20 Horace Harding Expressway
NY 11365
(40.74163103918843, -73.78277353951395)"
Jamaica,7900,92-06 156th Street,Howard Beach Library,11414,"92-06 156th Street
NY 11414
(40.66401120651412, -73.84200446656206)"
Bronx,5200,5555 Mosholu Ave,Riverdale Neighborhood house,10471,"5555 Mosholu Ave
NY 10471
(40.903014024345005, -73.90383810304249)"
Bronx,6000,812 Edgewater Rd,Rocking the Boat,10474,"812 Edgewater Rd
NY 10474
(40.81777429182637, -73.88344805051071)"
Briarwood,15282,85-70 148th st,,11435,"85-70 148th st
NY 11435
(40.708713509333165, -73.81009934580095)"
Bronx,3200,243 E204th St,,10458,"243 E204th St
NY 10458
(40.863069999581, -73.88915999983396)"
Sunnyside,24000,39-01 Queens Blvd,,11104,"39-01 Queens Blvd
NY 11104
(40.744243120571895, -73.92608228303267)"
Sunnyside,14000,43-31 39th Street,,11104,"43-31 39th Street
NY 11104
(40.745251654905644, -73.92582774045697)"
Sunset Park,9327,705 41st Street,,11232,"705 41st Street
NY 11232
(40.647421503757826, -74.00046155125703)"
Harlem,3315,118-124 E111th Street,,10029,"118-124 E111th Street
NY 10029
(40.7920299997848, -73.94449999957516)"
Concourse,4000,1413 Sheridan Ave,,10456,"1413 Sheridan Ave
NY 10456
(40.838713492906045, -73.91256315004534)"
Concourse,7500,1347 Morris Avenue,,10456,"1347 Morris Avenue
NY 10456
(40.83688488494897, -73.91201051816125)"
Murray Hill,9427,14 E. 28th St,,10016,"14 E. 28th St
NY 10016
(40.74423402885173, -73.98638569727625)"
Flatiron,2125,137 W14th St,,10011,"137 W14th St
NY 10011
(40.74065000009762, -73.99851000003633)"
Harlem,1000,216 West 112th Street,,10026,"216 West 112th Street
NY 10026
(40.80099294275965, -73.95525891455031)"
Bowery,3946,184 Eldridge St,,10002,"184 Eldridge St
NY 10002
(40.72065404023567, -73.99061195437832)"
East New York,3540,508 Williams Avenue,,11207,"508 Williams Avenue
NY 11207
(40.663378685836165, -73.897576399591)"
East New York,3540,502 Williams Avenue,,11207,"502 Williams Avenue
NY 11207
(40.66351358414056, -73.89760337925185)"
East New York,3540,496 Williams Avenue,,11207,"496 Williams Avenue
NY 11207
(40.66363049600437, -73.89763035891275)"
East New York,3540,490 Williams Avenue,,11207,"490 Williams Avenue
NY 11207
(40.663747407868186, -73.89766633179391)"
East New York,3540,486 Williams Ave,,11207,"486 Williams Ave
NY 11207
(40.66387331295226, -73.89769331145482)"
Astoria,8000,2112 30th Rd,,11102,"2112 30th Rd
NY 11102
(40.76882419377159, -73.9280364367234)"
Upper West Side,4622,149 Manhattan Ave,,10025,"149 Manhattan Ave
NY 10025
(40.79918009133808, -73.96117490158849)"
Upper West Side,3600,149 W108,Valley Lodge,10025,"149 W108
NY 10025
(40.798120000038125, -73.96729000013323)"
Upper West Side,5590,930 West end Ave,The Westbourne,10025,"930 West end Ave
NY 10025
(40.801307451486394, -73.96871427887473)"
Harlem,3500,109 W129th st,129th street residences,10027,"109 W129th st
NY 10027
(40.810900000334925, -73.95206999973055)"
Long Island City,3000,43-26 12th Street,Film Biz Recycling,11101,"43-26 12th Street
NY 11101
(40.750729834542085, -73.94789346713031)"
Flushing,8625,138-46 Northern Blvd,Flushing YMCA,11354,"138-46 Northern Blvd
NY 11354
(40.76387046469852, -73.82788209552716)"
Park Slope,3500,357 9th Street,Prospect Park YMCA,11215,"357 9th Street
NY 11215
(40.66834294343789, -73.98449587372284)"
Jamaica,10810,238-10 Hillsdale Ave,Cross Island YMCA,11427,"238-10 Hillsdale Ave
NY 11427
(40.73332088487009, -73.72683805147472)"
Bedford Stuyvesant,14300,1121 Bedford Ave,YMCA Bed-Stuy,11216,"1121 Bedford Ave
NY 11216
(40.68527796251576, -73.95421414326802)"
Long Island City,22000,32-23 Queens Blvd,Long Island City YMCA,11101,"32-23 Queens Blvd
NY 11101
(40.74499325994295, -73.93257715921851)"
Boro Park,4815,4912 14th Avenue,,11219,"4912 14th Avenue
NY 11219
(40.633637619852465, -73.99005881599756)"
East Harlem,5042,206 East 118th Street,,10035,"206 East 118th Street
NY 10035
(40.799023427515465, -73.93859447734735)"
East Harlem,3164,2295 2nd Avenue,Entrance on East 118th St.,10035,"2295 2nd Avenue
NY 10035
(40.798151085147026, -73.93696670447434)"
East Harlem,3120,251 E. 119th Street,,10035,"251 E. 119th Street
NY 10035
(40.799444610049534, -73.9374136655865)"
