Date,H.S. of E.F (100 Trinity Place),P.S. 234 (282 Grennwich St.),Stuyvesant H.S. (345 Chambers St.),I.S./P.S. 89 (201 Warren St.)
12/26/01,  13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/25/01,< 13.33 s/sqmm,< 15.15 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/24/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/23/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/22/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/21/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/20/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/19/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/18/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/17/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,  13.33 s/sqmm
12/16/01,< 13.33 s/sqmm,< 13.33 s/sqmm,  13.33 s/sqmm,  13.33 s/sqmm
12/15/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/14/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/13/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/12/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/11/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/10/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/9/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/8/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 8.89 s/sqmm
12/7/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/6/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/5/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/4/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1203/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/2/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/1/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/30/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/29/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/28/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/27/01,  13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/26/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/25/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,  13.33 s/sqmm
11/24/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/23/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,  28.67 s/sqmm
11/22/01,  13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/21/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/20/01,< 13.33 s/sqmm,  13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/19/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/18/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/17/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/16/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/15/01, 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/14/01, 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/13/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 8.89 s/sqmm
11/12/01,13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/11/01,13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/10/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/9/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/8/01,< 13.33 s/sqmm,< 26.67 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
