Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
QUEENS,14,11-11904,15837,49,City,01/09/2012,OPPOSITE OF 352 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD
QUEENS,14,11-11904,15837,51,City,01/09/2012,OPPOSITE OF 352 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD
QUEENS,14,11-11905,15837,52,City,01/06/2012,ADJ. 335 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD
QUEENS,14,11-11905,15837,54,City,01/06/2012,ADJ. 335 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD
QUEENS,14,11-11906,15848,57,City,01/13/2012,REAR OF 218 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11906,15848,58,City,01/13/2012,REAR OF 218 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11906,15848,60,City,01/13/2012,REAR OF 218 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11896,15848,62,City,01/11/2012,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11896,15848,63,City,01/11/2012,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11896,15848,65,City,01/11/2012,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11896,15848,67,City,01/11/2012,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END
QUEENS,14,11-11900,15849,18,City,01/11/2012,ADJ. 40-03 ROCKAWAY BEACH BOULEVARD betw BEACH 41 STREET & BEACH 40 STREET
QUEENS,14,11-11900,15849,19,City,01/11/2012,ADJ. 40-03 ROCKAWAY BEACH BOULEVARD betw BEACH 41 STREET & BEACH 40 STREET
QUEENS,14,11-11900,15849,20,City,01/11/2012,ADJ. 40-03 ROCKAWAY BEACH BOULEVARD betw BEACH 41 STREET & BEACH 40 STREET
QUEENS,14,11-11898,15850,6,City,01/09/2012,ADJ. 41-11 ROCKAWAY BEACH BOULEVARD betw BEACH 42 STREET & BEACH 41 STREET
QUEENS,14,11-11902,15851,33,City,01/12/2012,OPPOSITE OF 42-16 ROCKAWAY BEACH BOULEVARD betw BEACH 43 STREET & BEACH 42 STREET
