DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2007,English Language Proficient,601,586,508,84.50%,86.70%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2006,English Language Learner,19,14,s,s,s
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2007,English Language Learner,11,7,s,s,s
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2006,English Language Proficient,88,67,10,11.40%,14.90%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2007,English Language Proficient,91,64,16,17.60%,25.00%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,English Language Learner,14,5,s,s,s
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2007,English Language Learner,7,3,s,s,s
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,English Language Proficient,123,81,17,13.80%,21.00%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2007,English Language Proficient,135,98,18,13.30%,18.40%
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2006,English Language Learner,9,0,s,s,s
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2007,English Language Learner,14,3,s,s,s
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2006,English Language Proficient,191,55,4,2.10%,7.30%
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2007,English Language Proficient,224,56,6,2.70%,10.70%
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2007,English Language Learner,1,0,s,s,s
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2006,English Language Proficient,90,84,68,75.60%,81.00%
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2007,English Language Proficient,111,97,60,54.10%,61.90%
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2006,English Language Learner,1,0,s,s,s
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2006,English Language Proficient,53,40,6,11.30%,15.00%
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2007,English Language Proficient,64,42,9,14.10%,21.40%
04M099,JULIA DE BURGOS EDUCATION COMPLEX,2006,English Language Proficient,1,0,s,s,s
04M117,TITO PUENTE EDUCATION COMPLEX,2006,English Language Proficient,1,0,s,s,s
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,English Language Learner,5,1,s,s,s
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,English Language Proficient,71,49,3,4.20%,6.10%
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2006,English Language Learner,16,7,s,s,s
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2007,English Language Learner,20,11,s,s,s
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2006,English Language Proficient,365,327,211,57.80%,64.50%
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2007,English Language Proficient,368,333,209,56.80%,62.80%
04M495,PARK EAST HIGH SCHOOL,2006,English Language Learner,8,4,s,s,s
04M495,PARK EAST HIGH SCHOOL,2007,English Language Learner,4,0,s,s,s
04M495,PARK EAST HIGH SCHOOL,2006,English Language Proficient,84,49,4,4.80%,8.20%
04M495,PARK EAST HIGH SCHOOL,2007,English Language Proficient,80,60,7,8.80%,11.70%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2006,English Language Proficient,55,55,23,41.80%,41.80%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2007,English Language Proficient,64,63,19,29.70%,30.20%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,2006,English Language Learner,4,0,s,s,s
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,2007,English Language Learner,5,1,s,s,s
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,2006,English Language Proficient,71,31,3,4.20%,9.70%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,2007,English Language Proficient,93,41,2,2.20%,4.90%
04M680,HERITAGE SCHOOL (THE),2006,English Language Learner,6,1,s,s,s
