ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
450,K440,17K548,Brooklyn School for Music & Theatre,K548,883 CLASSON AVENUE,BROOKLYN,17,396,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights | The High School for Global Citizenship | Brooklyn Academy of Science and the  Environment | Brooklyn School for Music & Theatre | 883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
451,K440,17K524,International High School at Prospect Heights,K524,883 CLASSON AVENUE,BROOKLYN,17,433,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights | The High School for Global Citizenship | Brooklyn Academy of Science and the  Environment | Brooklyn School for Music & Theatre | 883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
452,K440,17K547,Brooklyn Academy of Science and the  Environment,K547,883 CLASSON AVENUE,BROOKLYN,17,444,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights | The High School for Global Citizenship | Brooklyn Academy of Science and the  Environment | Brooklyn School for Music & Theatre | 883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
453,K440,,883 CLASSON AVENUE CONSOLIDATED LOCATION,,883 CLASSON AVENUE,BROOKLYN,17,1658,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,International High School at Prospect Heights | The High School for Global Citizenship | Brooklyn Academy of Science and the  Environment | Brooklyn School for Music & Theatre | 883 CLASSON AVENUE CONSOLIDATED LOCATION,2,13,16,0,2,8C,1501-1750,1.11,6.11,10.78,0.5,0.61
454,K445,20K445,New Utrecht High School,K445,1601 80 STREET,BROOKLYN,20,3218,1601 80 STREET CONSOLIDATED LOCATION,3,New Utrecht High School | New Utrecht Evening Hs M/W | New Utrecht Evening Hs T/R | 1601 80 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,12C,3001-4000,N/A,N/A,N/A,N/A,N/A
455,K445,,1601 80 STREET CONSOLIDATED LOCATION,,1601 80 STREET,BROOKLYN,20,3218,1601 80 STREET CONSOLIDATED LOCATION,3,New Utrecht High School | New Utrecht Evening Hs M/W | New Utrecht Evening Hs T/R | 1601 80 STREET CONSOLIDATED LOCATION,4,12,19,1,3,12C,3001-4000,1.75,9.5,15.13,0.63,1.13
456,K445,20K920,New Utrecht Evening Hs M/W,K920,1601 80 STREET,BROOKLYN,20,#N/A,1601 80 STREET CONSOLIDATED LOCATION,3,New Utrecht High School | New Utrecht Evening Hs M/W | New Utrecht Evening Hs T/R | 1601 80 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A
457,K445,20K921,New Utrecht Evening Hs T/R,K921,1601 80 STREET,BROOKLYN,20,#N/A,1601 80 STREET CONSOLIDATED LOCATION,3,New Utrecht High School | New Utrecht Evening Hs M/W | New Utrecht Evening Hs T/R | 1601 80 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A
458,K450,14K477,School for Legal Studies,K477,850 GRAND STREET,BROOKLYN,14,810,850 GRAND STREET CONSOLIDATED LOCATION,3,"PROGRESS High School for Professional Careers | School for Legal Studies | The High School for Enterprise, Business and Techn | 850 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
459,K450,14K478,"The High School for Enterprise, Business and Techn",K478,850 GRAND STREET,BROOKLYN,14,950,850 GRAND STREET CONSOLIDATED LOCATION,3,"PROGRESS High School for Professional Careers | School for Legal Studies | The High School for Enterprise, Business and Techn | 850 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
