BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K298,P.S. 298 Dr. Betty Shabazz,EMS,C,A,C,C
K299,P.S. 299 Thomas Warren Field,EMS,B,B,B,C
K301,Satellite East Middle School,EMS,D,B,B,D
K302,J.H.S. 302 Rafael Cordero,EMS,D,B,D,C
K303,I.S. 303 Herbert S. Eisenberg,EMS,B,A,A,A
K304,Ps 304 Casimir Pulaski,EMS,None,None,None,F
K305,P.S. 305 Dr. Peter Ray,EMS,C,A,C,B
K306,P.S. 306 Ethan Allen,EMS,B,A,C,C
K307,P.S. 307 Daniel Hale Williams,EMS,C,A,B,D
K308,P.S. 308 Clara Cardwell,EMS,C,A,B,B
K309,P.S. 309 The George E. Wibecan Preparatory Academy,EMS,C,B,B,D
K311,Essence School,EMS,B,B,B,C
K312,P.S. 312 Bergen Beach,EMS,C,A,A,C
K313,Satellite West Middle School,EMS,B,B,B,B
K315,P.S. K315,EMS,B,A,B,B
K316,P.S. 316 Elijah Stroud,EMS,A,A,B,D
K318,I.S. 318 Eugenio Maria De Hostos,EMS,C,A,A,B
K321,P.S. 321 William Penn,EMS,A,A,B,B
K322,Foundations Academy,HS,B,C,None,None
K323,P.S./I.S. 323,EMS,B,A,B,D
K327,P.S. 327 Dr. Rose B. English,EMS,C,A,C,B
K328,P.S. 328 Phyllis Wheatley,EMS,B,A,B,C
K329,P.S. 329 Surfside,EMS,C,A,B,C
K330,The Urban Assembly School for the Urban Environmen,EMS,C,A,B,A
K332,P.S. 332 Charles H. Houston,EMS,F,C,C,C
K334,Middle School for Academic and Social Excellence,EMS,B,C,C,B
K335,P.S. 335 Granville T. Woods,EMS,B,A,A,C
K336,Academy of Business and Community Development,EMS,D,B,B,C
K336,Academy of Business and Community Development,HS,None,None,None,None
K337,International High School at Lafayette,HS,C,A,None,None
K340,I.S. 340,EMS,B,B,F,D
K344,Rachel Carson High School for Coastal Studies,HS,B,B,None,None
K345,P.S. 345 Patrolman Robert Bolden,EMS,B,A,C,C
K346,P.S. 346 Abe Stark,EMS,C,A,B,B
K347,I.S. 347 School of Humanities,EMS,C,A,C,B
K348,High School of Sports Management,HS,B,A,None,None
K349,"I.S. 349 Math, Science & Tech.",EMS,C,A,B,B
K350,Urban Assembly High School of Music and Art at Wat,HS,B,B,None,None
K352,Ebbets Field Middle School,EMS,B,A,B,B
K353,Elijah Stroud Middle School,EMS,A,A,A,A
K354,The School of Integrated Learning,EMS,A,A,B,B
K355,Williamsburg Collegiate Charter School,EMS,A,A,A,A
K355,Williamsburg Collegiate Charter School,HS,None,None,None,None
K356,Achievement First- Crown Heights Charter School,EMS,C,A,A,B
K356,Achievement First- Crown Heights Charter School,HS,None,None,None,None
K357,Kipp Amp (Always Mentally Prepared) Charter School,EMS,C,B,A,A
K357,Kipp Amp (Always Mentally Prepared) Charter School,HS,None,None,None,None
K358,Achievement First East New York School,EMS,C,A,None,None
K359,The Uft Charter School,EMS,D,B,C,None
K359,The Uft Charter School,HS,None,None,None,None
K361,P.S. 361 East Flatbush Early Childhood School,EC,C,None,None,None
K362,Hellenic Classical Charter School,EMS,C,A,F,B
K364,I.S. 364 Gateway,EMS,B,A,A,B
K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,EMS,None,None,None,None
K368,P.S. 368,D75,D,None,None,None
K369,P.S. K369 - Coy L. Cox School,D75,B,None,None,None
K372,P.S. 372 -The Children's School,D75,A,None,None,None
K375,P.S. 375 Jackie-Robinson School,EMS,B,A,B,D
K376,P.S. 376,EMS,B,A,A,A
K377,P.S. 377 Alejandrina B. De Gautier,EMS,B,A,B,B
K380,P.S. 380 John Wayne Elementary,EMS,A,A,A,B
K381,I. S. 381,EMS,C,B,B,D
K382,Academy for College Preparation and Career Explora,EMS,D,C,A,None
K382,Academy for College Preparation and Career Explora,HS,B,None,None,None
K383,J.H.S. 383 Philippa Schuyler,EMS,C,B,B,C
K384,P.S. /I.S. 384 Frances E. Carter,EMS,A,A,A,A
K385,"School of Business, Finance and Entrepreneurship",EMS,A,A,B,A
K392,I.S. 392,EMS,B,A,B,A
K393,Frederick Douglass Academy IV Secondary School,EMS,F,C,C,C
K393,Frederick Douglass Academy IV Secondary School,HS,B,D,None,None
K394,M.S. K394,EMS,C,A,A,C
K397,P.S. 397 Foster-Laurie,EMS,B,A,B,C
K398,P.S. 398 Walter Weaver,EMS,B,A,D,B
K399,P.S. 399 Stanley Eugene Clark,EMS,A,A,A,A
K400,Lafayette High School,HS,None,None,None,None
K403,Academy for Environmental Leadership,HS,A,None,None,None
K404,Academy for Young Writers,HS,A,None,None,None
K405,Midwood High School,HS,B,B,B,B
K408,Academy of Hospitality and Tourism,HS,D,None,None,None
K409,East New York Family Academy,EMS,B,A,A,A
K409,East New York Family Academy,HS,B,B,B,C
K410,Abraham Lincoln High School,HS,C,B,C,C
K411,Abraham Lincoln YABC,YABC,B,None,None,None
K412,"Brooklyn Community High School of Communication, A",HS,C,None,None,None
K415,Samuel J. Tilden High School,HS,None,None,None,None
K418,The Children's School,EMS,A,None,None,None
K419,Science Skills Center High School at Water's Edge,HS,A,D,D,D
K420,Franklin K. Lane High School,HS,None,None,None,D
K425,James Madison High School,HS,B,B,B,B
K429,Brooklyn School for Global Studies,EMS,B,A,C,C
K429,Brooklyn School for Global Studies,HS,F,C,B,C
K430,Brooklyn Technical High School,HS,B,A,A,B
K431,Thomas Jefferson YABC,YABC,B,None,None,None
K439,Brooklyn International High School at Water's Edge,HS,A,A,A,A
K442,New Horizons School,EMS,B,A,B,C
K443,New Voices School of Academic & Creative Arts,EMS,A,A,A,A
K445,New Utrecht High School,HS,B,B,B,A
K447,The Math & Science Exploratory School,EMS,A,A,A,A
K448,Brooklyn Secondary School for Collaborative Studie,EMS,B,B,A,A
K448,Brooklyn Secondary School for Collaborative Studie,HS,A,A,None,None
K449,"Brooklyn Latin School, The",HS,B,None,None,None
K452,Frederick Douglass Academy VIII Middle School,EMS,B,A,F,None
K454,Green School: An Academy for Environmental Careers,HS,C,None,None,None
K455,Boys and Girls High School,HS,C,D,B,C
K462,Secondary School for Law,EMS,C,A,B,C
K462,Secondary School for Law,HS,C,C,D,C
K463,Secondary School for Journalism,EMS,C,A,A,A
K463,Secondary School for Journalism,HS,B,C,C,C
K464,Secondary School for Research,EMS,B,A,B,B
K464,Secondary School for Research,HS,C,B,B,C
K467,Erasmus YABC,YABC,B,None,None,None
K468,Kingsborough Early College School,EMS,B,A,A,None
K468,Kingsborough Early College School,HS,None,None,None,None
