NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,215,$162240.00,$482136.00,$477000.00,$1007000.00
RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,268,$265000.00,$607703.00,$615500.00,$999975.00
RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,27,$499999.00,$712231.00,$732000.00,$850000.00
RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,26,$240000.00,$451839.00,$419605.00,$795000.00
RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,116,$171616.00,$591708.00,$600000.00,$980000.00
RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,35,$171616.00,$625242.00,$690000.00,$865587.00
ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,10,$250000.00,$425949.00,$412000.00,$700000.00
ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,14,$150000.00,$567218.00,$585625.00,$655000.00
ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,9,$495000.00,$704592.00,$715000.00,$930000.00
ROSEDALE                 ,01 ONE FAMILY HOMES                        ,188,$175000.00,$453160.00,$448525.00,$725000.00
ROSEDALE                 ,02 TWO FAMILY HOMES                        ,146,$165000.00,$618767.00,$650000.00,$749000.00
ROSEDALE                 ,03 THREE FAMILY HOMES                      ,6,$505000.00,$609000.00,$628500.00,$667000.00
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,387,$175000.00,$393389.00,$389000.00,$730000.00
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,159,$197000.00,$521048.00,$533180.00,$777000.00
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      ,7,$395000.00,$567857.00,$575000.00,$735000.00
SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,273,$155000.00,$413719.00,$403000.00,$760000.00
SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,223,$191000.00,$555553.00,$569000.00,$3510000.00
SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,26,$200000.00,$540555.00,$605000.00,$699600.00
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,268,$170000.00,$469427.00,$460000.00,$880000.00
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,167,$150000.00,$597318.00,$610000.00,$849590.00
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,8,$560000.00,$670275.00,$687500.00,$750000.00
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,262,$210000.00,$420404.00,$409050.00,$730340.00
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,172,$288000.00,$572094.00,$585000.00,$785000.00
SPRINGFIELD GARDENS      ,03 THREE FAMILY HOMES                      ,1,$603000.00,$603000.00,$603000.00,$603000.00
