DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
04M680,HERITAGE SCHOOL (THE),2006,75,42,7,9.30%,16.70%
04M680,HERITAGE SCHOOL (THE),2007,77,1,s,s,s
04M695,URBAN PEACE ACADEMY,2006,45,35,4,8.90%,11.40%
05M172,POWELL MIDDLE SCHOOL FOR LAW AND SOCIAL JUST,2007,1,0,s,s,s
05M285,HARLEM RENAISSENCE HIGH SCHOOL,2006,81,10,s,s,s
05M285,HARLEM RENAISSENCE HIGH SCHOOL,2007,89,16,s,s,s
05M304,MOTT HALL HIGH SCHOOL,2006,96,67,14,14.60%,20.90%
05M304,MOTT HALL HIGH SCHOOL,2007,93,62,4,4.30%,6.50%
05M367,ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,2007,53,42,4,7.50%,9.50%
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,2006,62,43,6,9.70%,14.00%
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,2007,70,47,2,2.90%,4.30%
05M469,CHOIR ACADEMY OF HARLEM,2006,39,22,0,0.00%,0.00%
05M469,CHOIR ACADEMY OF HARLEM,2007,45,30,0,0.00%,0.00%
05M499,FREDERICK DOUGLASS ACADEMY,2006,259,214,119,45.90%,55.60%
05M499,FREDERICK DOUGLASS ACADEMY,2007,204,182,86,42.20%,47.30%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,2006,95,65,17,17.90%,26.20%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,2007,95,71,27,28.40%,38.00%
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,2006,106,101,100,94.30%,99.00%
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,2007,111,103,102,91.90%,99.00%
06M293,CITY COLLEGE ACADEMY OF THE ARTS,2007,1,0,s,s,s
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,2007,2,0,s,s,s
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,2006,185,137,18,9.70%,13.10%
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,2007,169,105,29,17.20%,27.60%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,2006,161,101,10,6.20%,9.90%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,2007,149,72,8,5.40%,11.10%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,2006,171,122,16,9.40%,13.10%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,2007,174,125,12,6.90%,9.60%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,2006,158,88,21,13.30%,23.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,2007,175,81,21,12.00%,25.90%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006,267,190,62,23.20%,32.60%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2007,327,265,81,24.80%,30.60%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,2006,91,74,11,12.10%,14.90%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,2007,89,54,10,11.20%,18.50%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,2006,80,64,10,12.50%,15.60%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,2007,66,55,7,10.60%,12.70%
07X222,DR. MARIO SALVADORI SCHOOL,2006,1,0,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2006,56,8,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2007,49,3,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006,10,1,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2007,5,2,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006,50,5,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2007,92,10,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,2006,11,8,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,2007,71,3,s,s,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,2006,69,44,0,0.00%,0.00%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,2007,85,43,2,2.40%,4.70%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006,61,51,25,41.00%,49.00%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2007,87,67,23,26.40%,34.30%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2006,136,82,19,14.00%,23.20%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2007,109,59,5,4.60%,8.50%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,102,74,10,9.80%,13.50%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,109,62,2,1.80%,3.20%
07X547,NEW EXPLORERS HIGH SCHOOL,2006,81,36,4,4.90%,11.10%
07X547,NEW EXPLORERS HIGH SCHOOL,2007,82,41,0,0.00%,0.00%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,82,65,2,2.40%,3.10%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,82,65,12,14.60%,18.50%
07X551,BRONX ACADEMY OF LETTERS,2006,76,56,7,9.20%,12.50%
07X551,BRONX ACADEMY OF LETTERS,2007,89,73,14,15.70%,19.20%
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,267,109,6,2.20%,5.50%
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,264,114,14,5.30%,12.30%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,357,173,8,2.20%,4.60%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,294,105,6,2.00%,5.70%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,134,93,19,14.20%,20.40%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2007,154,109,12,7.80%,11.00%
08X192,PIAGENTINI-JONES SCHOOL,2006,2,0,s,s,s
08X192,PIAGENTINI-JONES SCHOOL,2007,1,0,s,s,s
