DISTRICT###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
31,GENERAL EDUCATION,12,MATH   ,28.1
31,GENERAL EDUCATION,12,SOCIAL STUDIES,30
31,GENERAL EDUCATION,12,SCIENCE,28.4
31,SPECIAL CLASS - Grades K-9#,12:1           ,,10.9
31,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.3
31,SPECIAL CLASS - High School,Mainstream,ENGLISH,28
31,SPECIAL CLASS - High School,Mainstream,MATH   ,26.5
31,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,30
31,SPECIAL CLASS - High School,Mainstream,SCIENCE,27.2
31,SPECIAL CLASS - High School,Self-Contained,ENGLISH,13.1
31,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.9
31,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.5
31,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.1
31,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.7
31,COLLABORATIVE TEAM TEACHING    ,1,,21.3
31,COLLABORATIVE TEAM TEACHING    ,2,,21.9
31,COLLABORATIVE TEAM TEACHING    ,3,,22.5
31,COLLABORATIVE TEAM TEACHING    ,4,,25.9
31,COLLABORATIVE TEAM TEACHING    ,5,,26.6
31,COLLABORATIVE TEAM TEACHING    ,6,,29.3
31,COLLABORATIVE TEAM TEACHING    ,7,,28.1
31,COLLABORATIVE TEAM TEACHING    ,8,,31
31,GIFTED & TALENTED    ,1,,24
31,GIFTED & TALENTED    ,2,,24.7
32,GENERAL EDUCATION ,Kindergarten             ,,19.5
32,GENERAL EDUCATION ,1,,20.2
32,GENERAL EDUCATION ,2,,20.2
32,GENERAL EDUCATION ,3,,20
32,GENERAL EDUCATION ,4,,23.2
32,GENERAL EDUCATION ,5,,23.7
32,GENERAL EDUCATION ,6,,21.9
32,GENERAL EDUCATION ,7,,24.3
32,GENERAL EDUCATION ,8,,23.8
32,GENERAL EDUCATION,9,ENGLISH,23.9
32,GENERAL EDUCATION,9,MATH   ,25.8
32,GENERAL EDUCATION,9,SOCIAL STUDIES,25.7
32,GENERAL EDUCATION,9,SCIENCE,26.1
32,GENERAL EDUCATION,10,ENGLISH,25.7
32,GENERAL EDUCATION,10,MATH   ,25.7
32,GENERAL EDUCATION,10,SOCIAL STUDIES,27.1
32,GENERAL EDUCATION,10,SCIENCE,26.6
32,GENERAL EDUCATION,11,ENGLISH,24.6
32,GENERAL EDUCATION,11,MATH   ,23.4
32,GENERAL EDUCATION,11,SOCIAL STUDIES,25.2
32,GENERAL EDUCATION,11,SCIENCE,24.7
32,GENERAL EDUCATION,12,ENGLISH,25.2
32,GENERAL EDUCATION,12,MATH   ,23.6
32,GENERAL EDUCATION,12,SOCIAL STUDIES,25.2
32,GENERAL EDUCATION,12,SCIENCE,23.7
32,SPECIAL CLASS - Grades K-9#,12:1           ,,10.4
32,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.4
32,SPECIAL CLASS - High School,Mainstream,ENGLISH,26.4
32,SPECIAL CLASS - High School,Mainstream,MATH   ,23.8
32,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,24.6
32,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.2
32,SPECIAL CLASS - High School,Self-Contained,ENGLISH,10.8
32,SPECIAL CLASS - High School,Self-Contained,MATH   ,10.5
32,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,11.5
32,SPECIAL CLASS - High School,Self-Contained,SCIENCE,11.7
32,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,18.8
32,COLLABORATIVE TEAM TEACHING    ,1,,18.4
32,COLLABORATIVE TEAM TEACHING    ,2,,21
32,COLLABORATIVE TEAM TEACHING    ,3,,19
32,COLLABORATIVE TEAM TEACHING    ,4,,22.3
32,COLLABORATIVE TEAM TEACHING    ,5,,22.8
32,COLLABORATIVE TEAM TEACHING    ,6,,22.3
32,COLLABORATIVE TEAM TEACHING    ,7,,23.5
32,COLLABORATIVE TEAM TEACHING    ,8,,19.7
32,GIFTED & TALENTED    ,5,,31
32,GIFTED & TALENTED    ,6,,28.2
32,GIFTED & TALENTED    ,7,,31.4
32,GIFTED & TALENTED    ,8,,28.9
